Age	CAT01	CAT03	CAT04A	CAT05B	CAT06	CAT07	CAT08A	CAT09C	CAT10	CAT11	CAT12	CAT13	CAT14B	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20	CAT21	CAT120B	CAT1226	CAT1228	CAT1230	CAT1613	CAT1626	CAT1850	CAT2013	CAT2137	CAT2145	Mean	Median	TSD	Mean	MAI																			
39.000	16.405	18.722	24.300	17.936	18.915	27.974	27.565	24.554	16.360	18.836	23.626	17.662	19.943	23.141	30.741	25.261	22.003	19.078	17.224	22.321	14.989	22.983	21.678	16.265	18.042	21.166	13.917	13.775	15.043	25.219	20.626	20.122	16.903	0.50514	0.43340																			
40.000	16.617	19.832	24.744	18.366	19.093	28.250	28.350	24.674	17.301	19.012	23.888	18.350	20.448	23.847	31.518	26.465	22.704	19.562	17.370	23.052	15.294	23.570	22.790	16.399	18.457	22.199	14.036	14.168	15.498	26.015	21.168	21.015	17.435	0.53208	0.43587																			
41.000	16.919	20.273	25.484	18.713	19.371	28.552	29.228	25.005	17.918	19.408	23.986	18.727	20.969	24.571	31.952	27.426	23.564	20.223	17.660	23.537	15.525	24.069	23.759	16.553	18.937	22.785	14.593	14.559	15.990	26.838	21.677	21.529	17.996	0.56168	0.43893																			
42.000	17.818	20.605	26.222	19.166	20.313	28.888	29.928	25.209	18.555	19.848	24.173	19.127	21.498	25.043	32.664	27.698	24.120	20.573	18.076	24.288	15.732	24.841	25.342	17.084	19.656	23.313	15.191	14.953	16.345	28.094	22.255	21.959	18.479	0.48291	0.43998																			
43.000	18.353	21.035	27.266	19.615	21.194	29.669	30.422	25.625	19.047	20.397	24.525	19.859	22.029	25.266	33.393	28.623	24.506	21.144	18.544	24.595	16.372	25.336	25.556	17.443	19.934	23.584	15.569	15.348	16.516	28.474	22.739	22.389	19.094	0.61476	0.44405																			
44.000	18.803	21.652	28.332	19.735	21.673	30.188	31.075	25.850	19.413	20.709	24.864	20.609	22.563	25.595	33.972	29.159	24.693	21.601	18.864	25.460	17.214	26.011	26.381	17.732	20.585	24.218	15.792	15.738	17.074	28.836	23.230	22.944	19.630	0.53599	0.44614																			
45.000	19.509	22.206	28.946	20.457	22.584	30.771	31.601	26.546	20.323	20.988	25.192	21.226	23.096	26.264	34.537	29.606	25.345	21.897	19.094	26.801	18.627	26.410	27.569	18.414	21.251	24.786	16.024	16.131	17.310	29.479	23.850	23.685	20.123	0.49258	0.44717																			
46.000	19.874	22.820	29.526	20.593	22.853	31.192	32.098	27.339	20.921	21.187	25.640	21.524	23.627	26.904	34.856	30.295	25.978	22.164	19.352	28.096	19.938	26.702	28.915	18.742	21.723	25.490	16.229	16.519	17.834	29.984	24.372	24.113	20.600	0.47702	0.44782																			
47.000	20.138	23.273	30.788	20.901	23.623	31.953	32.903	28.356	21.356	21.370	26.132	21.720	24.152	27.482	35.223	31.168	26.372	22.462	19.554	28.498	20.409	27.886	29.361	18.834	22.110	25.976	16.691	16.905	17.966	30.518	24.876	24.799	21.038	0.43878	0.44762																			
48.000	20.862	23.593	31.733	21.133	24.032	32.761	33.303	28.832	22.024	21.720	26.342	22.173	24.680	27.969	35.557	31.727	26.503	22.702	19.706	28.736	21.963	28.929	30.316	19.124	22.289	26.506	17.497	17.286	18.684	31.157	25.397	25.187	21.622	0.58319	0.45045																			
49.000	21.816	24.019	32.675	21.961	24.724	33.066	33.735	29.755	22.684	22.695	26.584	22.337	25.208	28.560	36.220	32.293	26.807	23.009	20.357	29.137	23.324	29.176	30.805	19.613	22.637	26.866	18.963	17.663	19.020	31.398	25.960	25.654	22.120	0.49811	0.45142																			
50.000	22.556	24.498	33.556	22.218	25.894	33.335	34.409	30.349	22.979	23.293	26.864	23.379	25.739	28.885	37.083	33.151	27.180	23.623	20.819	29.523	24.445	29.343	31.782	20.190	22.887	27.302	19.359	18.034	20.034	32.261	26.552	26.379	22.689	0.56924	0.45378																			
51.000	22.797	24.811	34.587	22.339	26.892	33.783	34.882	31.170	23.105	23.642	27.204	24.355	26.264	29.227	37.807	33.623	27.827	24.173	21.162	30.372	25.392	29.758	32.714	20.822	23.349	28.176	19.393	18.401	21.092	33.282	27.151	27.048	23.185	0.49570	0.45460																			
52.000	23.067	25.424	35.149	23.065	27.301	34.213	35.641	32.142	23.855	24.570	27.488	25.094	26.785	29.880	38.272	33.956	28.492	24.714	21.547	31.125	26.082	30.551	33.362	21.147	23.727	29.019	19.434	18.767	21.465	34.459	27.749	27.395	23.715	0.53025	0.45605																			
53.000	23.530	26.009	35.796	24.097	27.651	34.620	36.592	32.883	24.275	24.929	27.731	25.611	27.300	30.267	38.561	34.306	28.975	25.604	22.171	31.869	26.563	30.837	34.035	21.725	24.118	29.246	19.487	19.133	22.161	35.533	28.270	27.691	24.151	0.43580	0.45567																			
54.000	24.165	26.602	36.748	24.777	28.351	34.945	37.591	33.231	25.147	25.573	27.859	25.921	27.814	30.597	39.211	34.684	29.506	26.487	22.762	32.313	27.894	31.114	34.549	21.959	24.174	29.600	19.534	19.498	22.536	36.063	28.783	28.123	24.677	0.52685	0.45699																			
55.000	24.481	27.283	36.977	25.251	28.692	35.300	37.872	33.803	25.462	26.238	28.070	26.170	28.339	31.372	39.697	35.730	30.419	27.016	23.157	33.356	29.390	31.393	35.035	22.219	24.792	30.324	19.587	19.860	23.107	36.389	29.301	29.041	25.136	0.45900	0.45703																			
